/* L = 32, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.010000;0;0
0.020000;0;0
0.030000;0;0
0.040000;0;0
0.050000;0;0
0.060000;0;0
0.070000;0;0
0.080000;0;0
0.090000;0;0
0.100000;0;0
0.110000;0;0
0.120000;0;0
0.130000;0;0
0.140000;0;0
0.150000;0;0
0.160000;0;0
0.170000;0;0
0.180000;0;0
0.190000;0;0
0.200000;0;0
0.210000;0;0
0.220000;0;0
0.230000;0;0
0.240000;0;0
0.250000;0;0
0.260000;0;0
0.270000;0;0
0.280000;0;0
0.290000;0;0
0.300000;0;0
0.310000;0;0
0.320000;0;0
0.330000;0;0
0.340000;0;0
0.350000;0;0
0.360000;0;0
0.370000;0;0
0.380000;0;0
0.390000;0;0
0.400000;0;0
0.410000;0;0
0.420000;1;102
0.430000;1;142
0.440000;2;290
0.450000;9;1398
0.460000;20;3153
0.470000;58;9903
0.480000;90;16385
0.490000;144;27862
0.500000;289;58601
0.500100;315;65814
0.500200;305;61991
0.500300;307;62413
0.500400;299;61551
0.500500;311;64273
0.500600;313;64769
0.500700;286;61498
0.500800;333;69053
0.500900;325;69008
0.501000;326;69177
0.501100;328;69505
0.501200;330;66266
0.501300;330;66425
0.501400;317;66719
0.501500;300;62615
0.501600;302;63210
0.501700;339;71190
0.501800;351;74277
0.501900;326;69329
0.502000;327;69539
0.502100;328;69171
0.502200;373;78346
0.502300;375;78920
0.502400;309;65411
0.502500;365;77109
0.502600;369;77861
0.502700;329;69483
0.502800;364;76729
0.502900;367;77401
0.503000;360;75537
0.503100;354;71869
0.503200;374;79050
0.503300;376;79464
0.503400;336;71636
0.503500;367;78083
0.503600;368;78265
0.503700;371;77710
0.503800;356;75991
0.503900;359;76633
0.504000;400;86010
0.504100;381;81942
0.504200;381;81989
0.504300;416;89778
0.504400;399;86028
0.504500;400;86341
0.504600;353;76454
0.504700;420;90205
0.504800;386;83274
0.504900;388;83808
0.505000;379;80400
0.505100;382;82290
0.505200;385;82977
0.505300;415;88758
0.505400;441;92523
0.505500;441;92563
0.505600;415;89165
0.505700;444;95023
0.505800;416;87891
0.505900;418;88274
0.506000;406;87097
0.506100;423;91802
0.506200;425;92325
0.506300;512;110082
0.506400;407;88450
0.506500;410;89151
0.506600;462;99792
0.506700;426;91550
0.506800;429;92382
0.506900;439;95155
0.507000;462;98257
0.507100;443;96781
0.507200;444;97159
0.507300;407;86752
0.507400;509;111184
0.507500;511;111610
0.507600;438;95160
0.507700;435;93229
0.507800;437;93563
0.507900;458;101269
0.508000;496;105433
0.508100;499;106107
0.508200;481;105044
0.508300;488;104373
0.508400;482;103955
0.508500;485;104601
0.508600;538;119172
0.508700;462;100496
0.508800;463;100940
0.508900;543;118938
0.509000;532;116280
0.509100;536;117110
0.509200;488;107438
0.509300;530;115612
0.509400;533;116449
0.509500;539;117652
0.509600;544;118592
0.509700;521;111858
0.509800;523;112438
0.509900;519;115523
0.510000;524;116962
0.510100;527;117795
0.510200;533;117618
0.510300;573;129722
0.510400;577;130547
0.510500;534;118667
0.510600;568;123789
0.510700;568;123820
0.510800;541;122098
0.510900;564;127989
0.511000;575;125832
0.511100;576;126317
0.511200;574;129800
0.511300;550;121736
0.511400;551;122331
0.511500;578;127572
0.511600;632;141624
0.511700;582;129503
0.511800;584;130031
0.511900;571;128832
0.512000;582;129308
0.512100;589;130698
0.512200;611;137223
0.512300;596;131278
0.512400;598;131845
0.512500;625;137145
0.512600;618;139445
0.512700;626;142819
0.512800;627;143193
0.512900;610;139391
0.513000;650;146397
0.513100;654;147220
0.513200;637;144072
0.513300;639;143866
0.513400;642;144808
0.513500;590;132660
0.513600;651;148188
0.513700;654;148868
0.513800;658;148064
0.513900;677;152469
0.514000;649;146943
0.514100;655;148428
0.514200;645;145899
0.514300;632;141258
0.514400;633;141591
0.514500;675;152920
0.514600;666;150894
0.514700;669;151720
0.514800;699;160645
0.514900;705;163777
0.515000;706;161392
0.515100;710;162341
0.515200;666;152399
