L 32,p 0.583000,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
1;2134090
2;501531
3;308170
4;208118
5;146081
6;109322
7;85724
8;69634
9;57957
10;49143
11;41672
12;36102
13;31570
14;27836
15;25011
16;22472
17;20306
18;18518
19;17122
20;15449
21;14365
22;13389
23;12418
24;11384
25;10587
26;9889
27;9536
28;9040
29;8479
30;7872
31;7539
32;7258
33;6759
34;6577
35;6237
36;5968
37;5649
38;5445
39;5182
40;5003
41;4682
42;4600
43;4462
44;4245
45;4162
46;4014
47;3857
48;3660
49;3651
50;3536
51;3265
52;3279
53;3152
54;2961
55;3050
56;2939
57;2889
58;2797
59;2683
60;2571
61;2483
62;2444
63;2372
64;2421
65;2242
66;2255
67;2225
68;2059
69;2018
70;2014
71;1956
72;1971
73;1918
74;1814
75;1763
76;1763
77;1721
78;1701
79;1696
80;1609
81;1643
82;1551
83;1540
84;1485
85;1445
86;1409
87;1369
88;1392
89;1358
90;1325
91;1286
92;1267
93;1224
94;1217
95;1177
96;1225
97;1144
98;1196
99;1158
100;1132
101;1109
102;1107
103;1055
104;1075
105;1032
106;1011
107;1013
108;1033
109;938
110;969
111;965
112;942
113;945
114;895
115;862
116;898
117;861
118;859
119;867
120;827
121;848
122;802
123;828
124;776
125;761
126;762
127;678
128;721
129;780
130;710
131;714
132;720
133;715
134;729
135;641
136;722
137;670
138;711
139;699
140;691
141;635
142;613
143;676
144;603
145;617
146;619
147;625
148;577
149;631
150;568
151;593
152;554
153;591
154;528
155;618
156;539
157;525
158;583
159;530
160;524
161;549
162;520
163;501
164;548
165;512
166;450
167;524
168;494
169;532
170;478
171;460
172;435
173;494
174;434
175;430
176;423
177;432
178;455
179;463
180;423
181;415
182;436
183;430
184;406
185;427
186;441
187;451
188;393
189;370
190;390
191;416
192;422
193;366
194;383
195;397
196;367
197;351
198;345
199;376
200;371
201;377
202;386
203;365
204;367
205;353
206;364
207;327
208;363
209;355
210;365
211;310
212;315
213;354
214;294
215;305
216;352
217;304
218;312
219;338
220;323
221;343
222;293
223;320
224;294
225;315
226;279
227;283
228;290
229;283
230;259
231;302
232;276
233;301
234;279
235;284
236;266
237;282
238;256
239;265
240;247
241;291
242;250
243;228
244;260
245;274
246;244
247;238
248;251
249;225
250;250
251;255
252;243
253;225
254;232
255;238
256;238
257;258
258;238
259;202
260;241
261;201
262;235
263;231
264;228
265;211
266;211
267;213
268;174
269;227
270;202
271;218
272;202
273;192
274;208
275;203
276;181
277;168
278;185
279;195
280;191
281;202
282;190
283;180
284;175
285;178
286;184
287;174
288;196
289;176
290;172
291;167
292;168
293;186
294;190
295;193
296;160
297;160
298;162
299;143
300;144
301;171
302;162
303;150
304;130
305;154
306;138
307;123
308;155
309;155
310;138
311;156
312;157
313;135
314;131
315;140
316;177
317;147
318;142
319;139
320;139
321;138
322;126
323;127
324;120
325;137
326;112
327;120
328;112
329;111
330;119
331;118
332;102
333;130
334;124
335;108
336;100
337;109
338;127
339;105
340;115
341;94
342;96
343;109
344;78
345;88
346;88
347;81
348;95
349;106
350;82
351;89
352;85
353;92
354;100
355;82
356;88
357;93
358;89
359;69
360;89
361;65
362;77
363;83
364;74
365;73
366;67
367;78
368;70
369;63
370;69
371;69
372;65
373;70
374;51
375;56
376;54
377;62
378;57
379;72
380;67
381;60
382;61
383;59
384;63
385;56
386;58
387;56
388;49
389;53
390;49
391;55
392;52
393;61
394;50
395;51
396;51
397;61
398;39
399;35
400;48
401;49
402;39
403;30
404;39
405;34
406;38
407;28
408;35
409;31
410;28
411;38
412;40
413;39
414;41
415;30
416;37
417;41
418;32
419;23
420;37
421;24
422;18
423;24
424;22
425;23
426;25
427;22
428;29
429;12
430;23
431;26
432;27
433;22
434;23
435;21
436;18
437;19
438;16
439;23
440;15
441;27
442;14
443;15
444;18
445;15
446;20
447;19
448;17
449;8
450;14
451;2
452;13
453;10
454;11
455;12
456;9
457;15
458;13
459;11
460;8
461;16
462;19
463;8
464;13
465;8
466;12
467;8
468;9
469;5
470;7
471;11
472;9
473;1
474;5
475;2
476;5
477;9
478;6
479;6
480;6
481;2
482;2
483;2
484;4
485;7
486;7
487;4
488;6
489;3
490;3
491;3
492;1
493;2
494;4
495;4
496;2
497;4
498;3
499;2
500;1
501;2
502;2
503;0
504;2
505;2
506;2
507;2
508;0
509;0
510;2
511;0
512;2
513;1
514;1
515;2
516;3
517;1
518;2
519;0
520;0
521;0
522;0
523;0
524;1
525;1
526;0
527;0
528;0
529;0
530;1
531;0
532;0
533;0
534;0
535;0
536;0
537;0
538;1
539;0
540;0
541;0
542;0
543;0
