/* L = 128, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.010000;0;0
0.020000;0;0
0.030000;0;0
0.040000;0;0
0.050000;0;0
0.060000;0;0
0.070000;0;0
0.080000;0;0
0.090000;0;0
0.100000;0;0
0.110000;0;0
0.120000;0;0
0.130000;0;0
0.140000;0;0
0.150000;0;0
0.160000;0;0
0.170000;0;0
0.180000;0;0
0.190000;0;0
0.200000;0;0
0.210000;0;0
0.220000;0;0
0.230000;0;0
0.240000;0;0
0.250000;0;0
0.260000;0;0
0.270000;0;0
0.280000;0;0
0.290000;0;0
0.300000;0;0
0.310000;0;0
0.320000;0;0
0.330000;0;0
0.340000;0;0
0.350000;0;0
0.360000;0;0
0.370000;0;0
0.380000;0;0
0.390000;0;0
0.400000;0;0
0.410000;0;0
0.420000;0;0
0.430000;0;0
0.440000;0;0
0.450000;0;0
0.460000;0;0
0.470000;0;0
0.480000;0;0
0.490000;0;0
0.500000;0;0
0.500100;0;0
0.500200;0;0
0.500300;0;0
0.500400;0;0
0.500500;0;0
0.500600;0;0
0.500700;0;0
0.500800;0;0
0.500900;0;0
0.501000;0;0
0.501100;0;0
0.501200;0;0
0.501300;0;0
0.501400;0;0
0.501500;0;0
0.501600;0;0
0.501700;0;0
0.501800;0;0
0.501900;0;0
0.502000;0;0
0.502100;0;0
0.502200;0;0
0.502300;0;0
0.502400;0;0
0.502500;0;0
0.502600;0;0
0.502700;0;0
0.502800;0;0
0.502900;0;0
0.503000;0;0
0.503100;0;0
0.503200;0;0
0.503300;0;0
0.503400;0;0
0.503500;0;0
0.503600;0;0
0.503700;0;0
0.503800;0;0
0.503900;0;0
0.504000;0;0
0.504100;0;0
0.504200;0;0
0.504300;0;0
0.504400;0;0
0.504500;0;0
0.504600;0;0
0.504700;0;0
0.504800;0;0
0.504900;0;0
0.505000;0;0
0.505100;0;0
0.505200;0;0
0.505300;0;0
0.505400;0;0
0.505500;0;0
0.505600;0;0
0.505700;0;0
0.505800;0;0
0.505900;0;0
0.506000;0;0
0.506100;0;0
0.506200;0;0
0.506300;0;0
0.506400;0;0
0.506500;0;0
0.506600;0;0
0.506700;0;0
0.506800;0;0
0.506900;0;0
0.507000;0;0
0.507100;0;0
0.507200;0;0
0.507300;0;0
0.507400;0;0
0.507500;0;0
0.507600;0;0
0.507700;0;0
0.507800;0;0
0.507900;0;0
0.508000;0;0
0.508100;0;0
0.508200;0;0
0.508300;0;0
0.508400;0;0
0.508500;0;0
0.508600;0;0
0.508700;0;0
0.508800;0;0
0.508900;0;0
0.509000;0;0
0.509100;0;0
0.509200;0;0
0.509300;0;0
0.509400;0;0
0.509500;0;0
0.509600;0;0
0.509700;0;0
0.509800;0;0
0.509900;0;0
0.510000;0;0
0.510100;0;0
0.510200;0;0
0.510300;0;0
0.510400;0;0
0.510500;0;0
0.510600;0;0
0.510700;0;0
0.510800;0;0
0.510900;0;0
0.511000;0;0
0.511100;0;0
0.511200;0;0
0.511300;0;0
0.511400;0;0
0.511500;0;0
0.511600;0;0
0.511700;0;0
0.511800;0;0
0.511900;0;0
0.512000;0;0
0.512100;0;0
0.512200;0;0
0.512300;0;0
0.512400;0;0
0.512500;0;0
0.512600;0;0
0.512700;0;0
0.512800;0;0
0.512900;0;0
0.513000;0;0
0.513100;0;0
0.513200;0;0
0.513300;0;0
0.513400;0;0
0.513500;0;0
0.513600;0;0
0.513700;0;0
0.513800;0;0
0.513900;0;0
0.514000;0;0
0.514100;0;0
0.514200;0;0
0.514300;0;0
0.514400;0;0
0.514500;0;0
0.514600;0;0
0.514700;0;0
0.514800;0;0
0.514900;0;0
0.515000;0;0
0.515100;0;0
0.515200;0;0
0.515300;0;0
0.515400;0;0
0.515500;0;0
0.515600;0;0
0.515700;0;0
0.515800;0;0
0.515900;0;0
0.516000;0;0
0.516100;0;0
0.516200;0;0
0.516300;0;0
0.516400;0;0
0.516500;0;0
0.516600;0;0
0.516700;0;0
0.516800;0;0
0.516900;0;0
0.517000;0;0
