/* L = 64, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.010000;0;0
0.020000;0;0
0.030000;0;0
0.040000;0;0
0.050000;0;0
0.060000;0;0
0.070000;0;0
0.080000;0;0
0.090000;0;0
0.100000;0;0
0.110000;0;0
0.120000;0;0
0.130000;0;0
0.140000;0;0
0.150000;0;0
0.160000;0;0
0.170000;0;0
0.180000;0;0
0.190000;0;0
0.200000;0;0
0.210000;0;0
0.220000;0;0
0.230000;0;0
0.240000;0;0
0.250000;0;0
0.260000;0;0
0.270000;0;0
0.280000;0;0
0.290000;0;0
0.300000;0;0
0.310000;0;0
0.320000;0;0
0.330000;0;0
0.340000;0;0
0.350000;0;0
0.360000;0;0
0.370000;0;0
0.380000;0;0
0.390000;0;0
0.400000;0;0
0.410000;0;0
0.420000;0;0
0.430000;0;0
0.440000;0;0
0.450000;0;0
0.460000;0;0
0.470000;0;0
0.480000;0;0
0.490000;0;0
0.500000;3;1424
0.500100;1;349
0.500200;1;480
0.500300;7;3149
0.500400;4;1816
0.500500;6;3738
0.500600;6;3136
0.500700;2;776
0.500800;3;1607
0.500900;6;3153
0.501000;7;3072
0.501100;4;1760
0.501200;5;2717
0.501300;3;1371
0.501400;4;1771
0.501500;6;3058
0.501600;5;2399
0.501700;1;574
0.501800;5;2522
0.501900;6;2468
0.502000;4;1718
0.502100;3;1471
0.502200;4;1980
0.502300;6;3470
0.502400;6;2941
0.502500;6;2958
0.502600;0;0
0.502700;6;3051
0.502800;5;2484
0.502900;7;3684
0.503000;4;2244
0.503100;2;813
0.503200;2;837
0.503300;7;3323
0.503400;12;5515
0.503500;5;2635
0.503600;5;2615
0.503700;10;5191
0.503800;4;2065
0.503900;4;1683
0.504000;4;1896
0.504100;4;1793
0.504200;5;2410
0.504300;5;2375
0.504400;8;3407
0.504500;5;2747
0.504600;5;2839
0.504700;6;3155
0.504800;4;2173
0.504900;6;3344
0.505000;9;5391
0.505100;6;3043
0.505200;3;1838
0.505300;4;2143
0.505400;3;1616
0.505500;3;1837
0.505600;8;4090
0.505700;7;3330
0.505800;10;4740
0.505900;12;6441
0.506000;6;2812
0.506100;10;5978
0.506200;7;3805
0.506300;5;2394
0.506400;11;6387
0.506500;9;4711
0.506600;13;6858
0.506700;11;5624
0.506800;11;5655
0.506900;5;2284
0.507000;11;6062
0.507100;9;4992
0.507200;9;4908
0.507300;9;5092
0.507400;13;7447
0.507500;3;1707
0.507600;9;4707
0.507700;12;6551
0.507800;5;2272
0.507900;5;2357
0.508000;13;7103
0.508100;12;6741
0.508200;7;3337
0.508300;11;6106
0.508400;7;4125
0.508500;9;4649
0.508600;10;5239
0.508700;12;6441
0.508800;8;4919
0.508900;15;8136
0.509000;9;4619
0.509100;12;6617
0.509200;6;3250
0.509300;9;4430
0.509400;9;4785
0.509500;7;3649
0.509600;10;5843
0.509700;12;7167
0.509800;15;8826
0.509900;11;5706
0.510000;11;5786
0.510100;16;8470
0.510200;20;11119
0.510300;15;8709
0.510400;12;5993
0.510500;23;11540
0.510600;16;9070
0.510700;19;9599
0.510800;7;3684
0.510900;18;10192
0.511000;16;8264
0.511100;20;11943
0.511200;19;10933
0.511300;13;7213
0.511400;12;6775
0.511500;11;5632
0.511600;17;8937
0.511700;17;9859
0.511800;23;12190
0.511900;19;10327
0.512000;11;5790
0.512100;5;3104
0.512200;17;9062
0.512300;16;9644
0.512400;17;9585
0.512500;19;10615
0.512600;12;6010
0.512700;19;10388
0.512800;16;9144
0.512900;16;8371
0.513000;21;11385
0.513100;20;11353
0.513200;17;10203
0.513300;15;8928
0.513400;20;11253
0.513500;14;7064
0.513600;19;9391
0.513700;29;16467
0.513800;16;8795
0.513900;22;11751
0.514000;21;11336
0.514100;18;10761
0.514200;20;10856
0.514300;21;11932
0.514400;24;14310
0.514500;27;16201
0.514600;19;10314
0.514700;14;8113
0.514800;22;13237
0.514900;23;13609
0.515000;23;13026
0.515100;21;12343
0.515200;31;18377
0.515300;24;13117
0.515400;23;13646
