L 128,p 0.584300,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
1;29871393
2;6293275
3;3742694
4;2414760
5;1687179
6;1240491
7;953358
8;757678
9;619241
10;515540
11;435289
12;374514
13;325560
14;285710
15;252406
16;225191
17;202367
18;182855
19;165884
20;151297
21;139316
22;128258
23;118360
24;109637
25;101801
26;95311
27;89077
28;82437
29;78428
30;74326
31;70097
32;65885
33;62317
34;58974
35;55898
36;53168
37;50464
38;48134
39;45835
40;43480
41;42075
42;40234
43;38494
44;37037
45;35483
46;34203
47;32992
48;31603
49;30339
50;29638
51;28813
52;27474
53;26270
54;25696
55;25149
56;24018
57;23299
58;22530
59;21827
60;21386
61;20584
62;20183
63;19564
64;19117
65;18388
66;18016
67;17723
68;16804
69;16689
70;16162
71;15739
72;15495
73;14908
74;14596
75;14242
76;14225
77;13625
78;13352
79;13081
80;12832
81;12540
82;12137
83;11931
84;11806
85;11729
86;11291
87;10958
88;10861
89;10676
90;10295
91;10297
92;9774
93;9661
94;9642
95;9489
96;9342
97;9202
98;8730
99;8848
100;8648
101;8525
102;8234
103;8249
104;8099
105;7986
106;7661
107;7522
108;7536
109;7488
110;7301
111;7379
112;6866
113;6878
114;6812
115;6729
116;6719
117;6487
118;6361
119;6342
120;6343
121;6118
122;6132
123;5991
124;5895
125;5945
126;5802
127;5783
128;5546
129;5508
130;5447
131;5376
132;5294
133;5201
134;5154
135;5124
136;4889
137;4989
138;4868
139;4870
140;4732
141;4777
142;4613
143;4559
144;4578
145;4590
146;4492
147;4441
148;4324
149;4170
150;4232
151;4200
152;4236
153;4024
154;4090
155;4093
156;4021
157;3944
158;3912
159;3811
160;3808
161;3664
162;3648
163;3685
164;3631
165;3666
166;3578
167;3388
168;3527
169;3363
170;3432
171;3426
172;3317
173;3250
174;3242
175;3209
176;3213
177;3271
178;3137
179;3084
180;3119
181;2952
182;3069
183;2980
184;2995
185;2981
186;2937
187;2806
188;2806
189;2844
190;2868
191;2785
192;2864
193;2777
194;2804
195;2610
196;2689
197;2615
198;2584
199;2676
200;2627
201;2585
202;2455
203;2527
204;2489
205;2510
206;2562
207;2531
208;2416
209;2394
210;2388
211;2362
212;2287
213;2336
214;2326
215;2177
216;2260
217;2273
218;2179
219;2225
220;2127
221;2134
222;2193
223;2147
224;2129
225;2099
226;2061
227;2099
228;2074
229;2116
230;2103
231;2024
232;1953
233;1980
234;2044
235;2007
236;1920
237;1892
238;1938
239;1911
240;1882
241;1900
242;1807
243;1844
244;1797
245;1766
246;1889
247;1769
248;1790
249;1758
250;1745
251;1697
252;1766
253;1719
254;1750
255;1654
256;1698
257;1697
258;1631
259;1659
260;1644
261;1633
262;1620
263;1573
264;1535
265;1516
266;1575
267;1533
268;1500
269;1532
270;1532
271;1527
272;1505
273;1479
274;1502
275;1564
276;1528
277;1498
278;1511
279;1444
280;1416
281;1428
282;1465
283;1379
284;1382
285;1362
286;1442
287;1371
288;1425
289;1354
290;1359
291;1363
292;1361
293;1347
294;1388
295;1278
296;1314
297;1289
298;1325
299;1250
300;1262
301;1280
302;1314
303;1225
304;1237
305;1222
306;1198
307;1198
308;1206
309;1204
310;1233
311;1206
312;1208
313;1161
314;1174
315;1144
316;1149
317;1147
318;1148
319;1136
320;1102
321;1119
322;1062
323;1155
324;1096
325;1135
326;1080
327;1113
328;1110
329;1070
330;1067
331;1049
332;1117
333;1073
334;1008
335;1075
336;1116
337;1081
338;983
339;1006
340;1034
341;1030
342;1067
343;1039
344;1069
345;1024
346;1033
347;977
348;1006
349;1009
350;967
351;991
352;923
353;928
354;974
355;983
356;950
357;991
358;906
359;932
360;911
361;920
362;923
363;964
364;904
365;929
366;894
367;833
368;946
369;911
370;918
371;874
372;930
373;894
374;910
375;915
376;872
377;881
378;878
379;842
380;864
381;881
382;836
383;804
384;855
385;814
386;858
387;822
388;847
389;821
390;806
391;805
392;810
393;806
394;777
395;834
396;785
397;763
398;756
399;764
400;760
401;776
402;773
403;787
404;804
405;742
406;773
407;805
408;746
409;765
410;737
411;784
412;697
413;715
414;718
415;764
416;781
417;721
418;724
419;768
420;686
421;663
422;680
423;762
424;744
425;761
426;687
427;684
428;657
429;701
430;667
431;716
432;703
433;710
434;671
435;683
436;664
437;716
438;710
439;678
440;697
441;682
442;702
443;678
444;688
445;644
446;609
447;681
448;677
449;655
450;647
451;653
452;610
453;613
454;657
455;642
456;637
457;643
458;621
459;589
460;613
461;624
462;613
463;602
464;611
465;595
466;607
467;568
468;608
469;579
470;569
471;599
472;596
473;584
474;580
475;596
476;598
477;594
478;567
479;604
480;599
481;550
482;544
483;574
484;580
485;543
486;531
487;588
488;569
489;555
490;558
491;541
492;569
493;568
494;540
495;555
496;522
497;542
498;546
499;543
500;538
501;541
502;526
503;511
504;534
505;523
506;538
507;510
508;519
509;535
510;540
511;506
512;498
513;520
514;511
515;492
516;513
517;516
518;527
519;494
520;506
521;504
522;524
523;488
524;473
525;517
526;510
527;500
528;491
529;491
530;514
531;501
532;504
533;502
534;475
535;493
536;489
537;467
538;506
539;490
540;487
541;464
542;450
543;450
544;453
545;478
546;437
547;436
548;472
549;459
550;493
551;443
552;473
553;457
554;469
555;470
556;446
557;412
558;445
559;424
560;448
561;431
562;437
563;434
564;513
565;415
566;449
567;404
568;440
569;462
570;414
571;471
572;419
573;412
574;431
575;406
576;430
577;378
578;446
579;413
580;407
581;431
582;440
583;405
584;417
585;425
586;424
587;448
588;441
589;415
590;414
591;406
592;390
593;409
594;417
595;396
596;417
597;400
598;419
599;394
600;405
601;421
602;356
603;425
604;387
605;393
606;384
607;409
608;407
609;382
610;378
611;401
612;385
613;399
614;350
615;391
616;363
617;396
618;411
619;385
620;347
621;396
622;366
623;389
624;351
625;395
626;362
627;378
628;362
629;381
630;354
631;350
632;373
633;379
634;354
635;346
636;396
637;370
638;396
639;364
640;344
641;352
642;341
643;331
644;306
645;368
646;365
647;356
648;349
649;336
650;352
651;364
652;344
653;302
654;344
655;349
656;341
657;355
658;331
659;317
660;369
661;326
662;337
663;344
664;325
665;351
666;347
667;324
668;311
669;325
670;318
671;363
672;344
673;310
674;335
675;334
676;337
677;335
678;301
679;307
680;326
681;333
682;319
683;334
684;328
685;353
686;308
687;335
688;303
689;305
690;301
691;307
692;312
693;307
694;333
695;302
696;270
697;322
698;309
699;302
700;305
701;322
702;286
703;311
704;321
