/* L 6 Z 100000 */
/* probabilidad; segundo momento */
0.010000;36878
0.020000;76719
0.030000;119305
0.040000;165263
0.050000;214260
0.060000;266346
0.070000;321040
0.080000;380689
0.090000;445377
0.100000;514659
0.110000;587666
0.120000;666985
0.130000;751569
0.140000;841874
0.150000;938310
0.160000;1039546
0.170000;1150218
0.180000;1267370
0.190000;1394882
0.200000;1530523
0.210000;1674003
0.220000;1830119
0.230000;1993116
0.240000;2169645
0.250000;2356726
0.260000;2539612
0.270000;2748841
0.280000;2966160
0.290000;3191187
0.300000;3427753
0.310000;3675939
0.320000;3942233
0.330000;4209753
0.340000;4488747
0.350000;4782034
0.360000;5079116
0.370000;5386757
0.380000;5694738
0.390000;5996331
0.400000;6301226
0.410000;6601080
0.420000;6914004
0.430000;7214946
0.440000;7515963
0.450000;7791108
0.460000;8047868
0.470000;8295936
0.480000;8505511
0.490000;8695632
0.500000;8870432
0.500100;8872570
0.500200;8872842
0.500300;8873939
0.500400;8875398
0.500500;8877410
0.500600;8879211
0.500700;8879855
0.500800;8896228
0.500900;8897128
0.501000;8899265
0.501100;8898513
0.501200;8901060
0.501300;8902244
0.501400;8904729
0.501500;8869094
0.501600;8871223
0.501700;8873062
0.501800;8875506
0.501900;8878407
0.502000;8880600
0.502100;8883094
0.502200;8886487
0.502300;8914264
0.502400;8915635
0.502500;8915754
0.502600;8917128
0.502700;8918230
0.502800;8917361
0.502900;8919111
0.503000;8919549
0.503100;8925097
0.503200;8927699
0.503300;8927871
0.503400;8931050
0.503500;8930602
0.503600;8932016
0.503700;8933024
0.503800;8907835
0.503900;8911407
0.504000;8910837
0.504100;8912867
0.504200;8914304
0.504300;8915884
0.504400;8917063
0.504500;8918261
0.504600;8931814
0.504700;8933864
0.504800;8935423
0.504900;8935366
0.505000;8938338
0.505100;8940088
0.505200;8942137
0.505300;8944908
0.505400;8938979
0.505500;8938858
0.505600;8939527
0.505700;8939227
0.505800;8941656
0.505900;8943395
0.506000;8945460
0.506100;8948760
0.506200;8954182
0.506300;8954081
0.506400;8954844
0.506500;8955580
0.506600;8958221
0.506700;8961626
0.506800;8964693
0.506900;8967963
0.507000;8941484
